X,Y,Z
-15.882133,2.139578,-7.447695
-15.790606,2.156121,-7.427419
-15.699253,2.172065,-7.405902
-15.653612,2.179917,-7.394894
-15.608183,2.187190,-7.382680
-15.517426,2.201489,-7.357747
-15.426912,2.215210,-7.331639
-15.336751,2.228127,-7.303945
-15.246905,2.240343,-7.274925
-15.157339,2.251938,-7.244803
-15.068086,2.262797,-7.213482
-14.979046,2.273105,-7.181359
-14.890201,2.282803,-7.148499
-14.801494,2.291877,-7.115073
-14.712819,2.300549,-7.081426
-14.624080,2.308698,-7.047799
-14.535164,2.316379,-7.014521
-14.446028,2.323782,-6.981758
-14.356434,2.330848,-6.950171
-14.266273,2.337665,-6.920155
-14.175577,2.344342,-6.891734
-14.084064,2.350905,-6.866043
-13.991746,2.357433,-6.843391
-13.898791,2.363979,-6.823475
-13.805056,2.370613,-6.807709
-13.757968,2.373966,-6.801147
-13.710705,2.377383,-6.796207
-13.616008,2.384286,-6.788070
-13.521048,2.391415,-6.784801
-13.426054,2.398795,-6.786310
-13.331182,2.406367,-6.791115
-13.236696,2.414234,-6.800527
-13.142744,2.422402,-6.814195
-13.049264,2.430789,-6.830637
-12.956524,2.439495,-6.850675
-12.864495,2.448498,-6.873663
-12.773060,2.457757,-6.898795
-12.682331,2.467344,-6.926245
-12.592105,2.477189,-6.955191
-12.502380,2.487365,-6.985523
-12.413074,2.497890,-7.016936
-12.323976,2.508689,-7.048817
-12.235042,2.519856,-7.081014
-12.146162,2.531313,-7.113247
-12.057224,2.543150,-7.145155
-11.968153,2.555372,-7.176515
-11.878891,2.567889,-7.207199
-11.834196,2.574249,-7.222311
-11.789330,2.580791,-7.236804
-11.699495,2.593981,-7.265426
-11.609244,2.607539,-7.292484
-11.518559,2.621440,-7.317850
-11.427493,2.635602,-7.341640
-11.335941,2.650071,-7.363255
-11.244030,2.664749,-7.383139
-11.151659,2.679657,-7.400489
-11.058854,2.694756,-7.415180
-10.965771,2.709948,-7.427822
-10.872353,2.725212,-7.437580
-10.778708,2.740481,-7.444898
-10.684894,2.755684,-7.449579
-10.590949,2.770740,-7.451305
-10.496961,2.785635,-7.450957
-10.402980,2.800218,-7.447779
-10.309060,2.814430,-7.441925
-10.215230,2.828304,-7.434156
-10.121559,2.841657,-7.423912
-10.028049,2.854522,-7.411703
-9.934721,2.866834,-7.397634
-9.888121,2.872800,-7.389993
-9.841614,2.878461,-7.381602
-9.748666,2.889569,-7.364295
-9.655924,2.899902,-7.345442
-9.563366,2.909438,-7.325263
-9.470921,2.918355,-7.304288
-9.378589,2.926398,-7.282450
-9.286315,2.933694,-7.260086
-9.194050,2.940157,-7.237407
-9.101741,2.945663,-7.214629
-9.009356,2.950460,-7.191980
-8.916793,2.954248,-7.169833
-8.824011,2.957062,-7.148437
-8.731001,2.959051,-7.127947
-8.637660,2.959957,-7.108932
-8.544031,2.959990,-7.091334
-8.450066,2.958998,-7.075669
-8.355751,2.956889,-7.062222
-8.261209,2.953994,-7.049520
-8.166417,2.950004,-7.037632
-8.071451,2.944991,-7.026626
-7.976416,2.939212,-7.016163
-7.928880,2.936093,-7.011208
-7.881381,2.932455,-7.007257
-7.786427,2.924918,-6.999681
-7.691636,2.916657,-6.993633
-7.597117,2.907629,-6.989703
-7.502853,2.898095,-6.987290
-7.408983,2.887993,-6.987146
-7.315552,2.877398,-6.989435
-7.222451,2.866528,-6.993575
-7.129799,2.855374,-7.000212
-7.037529,2.844057,-7.009088
-6.945568,2.832687,-7.020155
-6.853921,2.821358,-7.033850
-6.762463,2.810137,-7.048794
-6.671159,2.799175,-7.063193
-6.579940,2.788581,-7.076549
-6.488722,2.778332,-7.089202
-6.397436,2.768680,-7.101372
-6.306028,2.759682,-7.113029
-6.214469,2.751330,-7.123572
-6.122666,2.743937,-7.131998
-6.030614,2.737489,-7.138316
-5.984537,2.734457,-7.141033
-5.938303,2.732028,-7.142852
-5.845655,2.727940,-7.145724
-5.752706,2.725202,-7.147463
-5.659497,2.723749,-7.148526
-5.565980,2.724145,-7.148842
-5.472217,2.726493,-7.148693
-5.378306,2.730536,-7.148597
-5.284285,2.736671,-7.148689
-5.190248,2.745348,-7.149238
-5.096312,2.756494,-7.150853
-5.002559,2.769994,-7.154610
-4.909090,2.786031,-7.161081
-4.816107,2.805159,-7.168204
-4.723751,2.827445,-7.174262
-4.632074,2.852540,-7.179494
-4.541190,2.880504,-7.183967
-4.451210,2.911369,-7.187756
-4.362315,2.945312,-7.190909
-4.274671,2.982418,-7.193497
-4.188288,3.022400,-7.195639
-4.103157,3.064996,-7.197426
-4.060909,3.086933,-7.198237
-4.019306,3.110076,-7.198909
-3.936743,3.157487,-7.200136
-3.855445,3.207058,-7.201142
-3.775443,3.258703,-7.201948
-3.696712,3.312272,-7.202578
-3.619123,3.367486,-7.203068
-3.542606,3.424175,-7.203442
-3.467134,3.482248,-7.203721
-3.392694,3.541640,-7.203920
-3.319286,3.602305,-7.204057
-3.246927,3.664225,-7.204144
-3.175689,3.727434,-7.204195
-3.105688,3.792006,-7.204222
-3.036989,3.857963,-7.204233
-2.969678,3.925329,-7.204237
-2.903913,3.994198,-7.204238
-2.839883,4.064678,-7.204239
-2.777799,4.136874,-7.204239
-2.717878,4.210872,-7.204238
-2.660332,4.286728,-7.204238
-2.605362,4.364470,-7.204238
-2.578545,4.403815,-7.204238
-2.553154,4.444095,-7.204238
-2.503880,4.525569,-7.204238
-2.457694,4.608839,-7.204238
-2.414863,4.693882,-7.204238
-2.375518,4.780595,-7.204238
-2.339644,4.868796,-7.204238
-2.307333,4.958357,-7.204238
-2.278674,5.049147,-7.204238
-2.253748,5.141026,-7.204238
-2.232646,5.233858,-7.204238
-2.215466,5.327497,-7.204238
-2.202315,5.421782,-7.204238
-2.193307,5.516548,-7.204238
-2.188550,5.611621,-7.204238
-2.188146,5.706811,-7.204238
-2.192179,5.801915,-7.204238
-2.200709,5.896721,-7.204238
-2.213761,5.991013,-7.204238
-2.231320,6.084571,-7.204238
-2.253325,6.177184,-7.204238
-2.279666,6.268661,-7.204238
-2.293904,6.314094,-7.204238
-2.310184,6.358834,-7.204238
-2.344682,6.447562,-7.204238
-2.382931,6.534740,-7.204238
-2.424696,6.620295,-7.204238
-2.469736,6.704175,-7.204239
-2.517812,6.786357,-7.204239
-2.568696,6.866837,-7.204239
-2.622174,6.945623,-7.204239
-2.678042,7.022735,-7.204239
-2.736120,7.098202,-7.204239
-2.796242,7.172060,-7.204239
-2.858255,7.244338,-7.204239
-2.922074,7.315022,-7.204239
-2.987580,7.384148,-7.204239
-3.054619,7.451789,-7.204240
-3.123103,7.517965,-7.204240
-3.192966,7.582684,-7.204241
-3.264150,7.645943,-7.204241
-3.336608,7.707737,-7.204242
-3.410303,7.768050,-7.204244
-3.485198,7.826866,-7.204249
-3.522941,7.855897,-7.204254
-3.561260,7.884164,-7.205031
-3.638457,7.939926,-7.207774
-3.716756,7.994133,-7.212654
-3.796121,8.046766,-7.219184
-3.876513,8.097821,-7.226873
-3.957887,8.147296,-7.235228
-4.040192,8.195205,-7.243757
-4.123375,8.241573,-7.251977
-4.207380,8.286430,-7.259156
-4.292154,8.329819,-7.265303
-4.377647,8.371784,-7.272170
-4.463802,8.412372,-7.280529
-4.550568,8.451626,-7.289505
-4.637907,8.489594,-7.298625
-4.725776,8.526321,-7.307833
-4.814140,8.561844,-7.317034
-4.902969,8.596189,-7.326097
